Filename_MOD11A1_LST_Day, filename_MOD11A1_LST_Night,No_GoodQuality, No_Total, GoodQ_Rate
MOD11A1_2013167.LST_Night_1km.tif, MOD11A1_2013167.QC_Night.tif, 56087, 396600, 0.141420
MOD11A1_2013168.LST_Day_1km.tif, MOD11A1_2013168.QC_Day.tif, 57149, 396600, 0.144097
MOD11A1_2013168.LST_Night_1km.tif, MOD11A1_2013168.QC_Night.tif, 111104, 396600, 0.280141
MOD11A1_2013169.LST_Day_1km.tif, MOD11A1_2013169.QC_Day.tif, 50090, 396600, 0.126299
MOD11A1_2013169.LST_Night_1km.tif, MOD11A1_2013169.QC_Night.tif, 5249, 396600, 0.013235
MOD11A1_2013170.LST_Day_1km.tif, MOD11A1_2013170.QC_Day.tif, 695, 396600, 0.001752
MOD11A1_2013170.LST_Night_1km.tif, MOD11A1_2013170.QC_Night.tif, 37453, 396600, 0.094435
MOD11A1_2013171.LST_Day_1km.tif, MOD11A1_2013171.QC_Day.tif, 1279, 396600, 0.003225
MOD11A1_2013171.LST_Night_1km.tif, MOD11A1_2013171.QC_Night.tif, 45692, 396600, 0.115209
MOD11A1_2013172.LST_Day_1km.tif, MOD11A1_2013172.QC_Day.tif, 266226, 396600, 0.671271
MOD11A1_2013172.LST_Night_1km.tif, MOD11A1_2013172.QC_Night.tif, 261371, 396600, 0.659029
MOD11A1_2013173.LST_Day_1km.tif, MOD11A1_2013173.QC_Day.tif, 362395, 396600, 0.913754
MOD11A1_2013173.LST_Night_1km.tif, MOD11A1_2013173.QC_Night.tif, 381558, 396600, 0.962073
MOD11A1_2013174.LST_Day_1km.tif, MOD11A1_2013174.QC_Day.tif, 341329, 396600, 0.860638
MOD11A1_2013174.LST_Night_1km.tif, MOD11A1_2013174.QC_Night.tif, 274739, 396600, 0.692736
MOD11A1_2013175.LST_Day_1km.tif, MOD11A1_2013175.QC_Day.tif, 295129, 396600, 0.744148
MOD11A1_2013175.LST_Night_1km.tif, MOD11A1_2013175.QC_Night.tif, 276178, 396600, 0.696364
MOD11A1_2013176.LST_Day_1km.tif, MOD11A1_2013176.QC_Day.tif, 299094, 396600, 0.754145
MOD11A1_2013176.LST_Night_1km.tif, MOD11A1_2013176.QC_Night.tif, 294070, 396600, 0.741478
MOD11A1_2013177.LST_Day_1km.tif, MOD11A1_2013177.QC_Day.tif, 367872, 396600, 0.927564
MOD11A1_2013177.LST_Night_1km.tif, MOD11A1_2013177.QC_Night.tif, 389680, 396600, 0.982552
MOD11A1_2013178.LST_Day_1km.tif, MOD11A1_2013178.QC_Day.tif, 317941, 396600, 0.801667
MOD11A1_2013178.LST_Night_1km.tif, MOD11A1_2013178.QC_Night.tif, 227614, 396600, 0.573913
MOD11A1_2013179.LST_Day_1km.tif, MOD11A1_2013179.QC_Day.tif, 341733, 396600, 0.861657
MOD11A1_2013179.LST_Night_1km.tif, MOD11A1_2013179.QC_Night.tif, 252855, 396600, 0.637557
MOD11A1_2013180.LST_Day_1km.tif, MOD11A1_2013180.QC_Day.tif, 184201, 396600, 0.464450
MOD11A1_2013180.LST_Night_1km.tif, MOD11A1_2013180.QC_Night.tif, 262892, 396600, 0.662864
MOD11A1_2013181.LST_Day_1km.tif, MOD11A1_2013181.QC_Day.tif, 282497, 396600, 0.712297
MOD11A1_2013181.LST_Night_1km.tif, MOD11A1_2013181.QC_Night.tif, 72447, 396600, 0.182670
MOD11A1_2013182.LST_Day_1km.tif, MOD11A1_2013182.QC_Day.tif, 265581, 396600, 0.669644
MOD11A1_2013182.LST_Night_1km.tif, MOD11A1_2013182.QC_Night.tif, 184843, 396600, 0.466069
MOD11A1_2013183.LST_Day_1km.tif, MOD11A1_2013183.QC_Day.tif, 370807, 396600, 0.934965
MOD11A1_2013183.LST_Night_1km.tif, MOD11A1_2013183.QC_Night.tif, 27602, 396600, 0.069597
MOD11A1_2013184.LST_Day_1km.tif, MOD11A1_2013184.QC_Day.tif, 78516, 396600, 0.197973
MOD11A1_2013184.LST_Night_1km.tif, MOD11A1_2013184.QC_Night.tif, 133791, 396600, 0.337345
